id,block,trial,gesture,manipulation,direction,magnitude,time,recognized,correct
17,11,4,1,0,0,0,6020,0,false
17,11,5,1,0,0,0,3036,1,true
17,11,6,1,0,0,0,3455,1,true
19,0,0,12,2,1,1,5238,12,true
19,0,1,12,2,1,1,3885,12,true
19,0,2,12,2,1,1,3716,12,true
19,0,3,12,2,1,1,3418,12,true
19,0,4,12,2,1,1,3552,12,true
19,0,5,12,2,1,1,3053,12,true
19,0,6,12,2,1,1,3679,12,true
19,1,0,9,2,0,0,2229,9,true
19,1,1,9,2,0,0,1978,9,true
19,1,2,9,2,0,0,1725,9,true
19,1,3,9,2,0,0,1799,9,true
19,1,4,9,2,0,0,2154,9,true
19,1,5,9,2,0,0,2220,9,true
19,1,6,9,2,0,0,2136,9,true
19,2,0,7,1,1,0,1897,7,true
19,2,1,7,1,1,0,1449,7,true
19,2,2,7,1,1,0,1372,7,true
19,2,3,7,1,1,0,1591,7,true
19,2,4,7,1,1,0,1716,7,true
19,2,5,7,1,1,0,1708,7,true
19,2,6,7,1,1,0,1573,7,true
19,3,0,11,2,1,0,2244,11,true
19,3,1,11,2,1,0,2217,11,true
19,3,2,11,2,1,0,1858,11,true
19,3,3,11,2,1,0,1571,11,true
19,3,4,11,2,1,0,1619,11,true
19,3,5,11,2,1,0,2031,11,true
19,3,6,11,2,1,0,1589,11,true
19,4,0,2,0,0,1,3412,2,true
19,4,1,2,0,0,1,3578,2,true
19,4,2,2,0,0,1,3343,2,true
19,4,3,2,0,0,1,3377,2,true
19,4,4,2,0,0,1,3247,2,true
19,4,5,2,0,0,1,4181,2,true
19,4,6,2,0,0,1,3281,2,true
19,5,0,4,0,1,1,2437,4,true
19,5,1,4,0,1,1,2633,4,true
19,5,2,4,0,1,1,3335,4,true
19,5,3,4,0,1,1,2337,4,true
19,5,4,4,0,1,1,2235,4,true
19,5,5,4,0,1,1,2241,4,true
19,5,6,4,0,1,1,2367,4,true
19,6,0,3,0,1,0,1412,3,true
19,6,1,3,0,1,0,1534,3,true
19,6,2,3,0,1,0,1561,3,true
19,6,3,3,0,1,0,1303,3,true
19,6,4,3,0,1,0,1422,3,true
19,6,5,3,0,1,0,1203,3,true
19,6,6,3,0,1,0,1303,3,true
19,7,0,10,2,0,1,3235,10,true
19,7,1,10,2,0,1,4002,10,true
